"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","120.74506483174571","278.8124699484033","0","0","0.07689999999999997","0.07679999999999998","0.077","1560","0.0002884389838895721","0","0.0002884389838895721","0.0002884389838895721","0_15:0.003867257013085046;0_1:0.007964359362121948","0_15:124;0_1:84","true"
"1","73.08759378338125","74.7012222084336","0","0","0.009199999999999986","0.0122","0.006199999999999983","1560","0.00030292636059611825","0","0.00030292636059611825","0.00030292636059611825","1_2:0.004198185283873251;1_0:0.007964359362121948","1_2:124;1_0:84","true"
"2","191.1328096338091","170.79678893183333","0","0","0.027900000000000036","0.031000000000000028","0.0248","1560","0.00038724110826636595","0","0.00038724110826636595","0.00038724110826636595","2_3:0.010139001764906286;2_1:0.004198185283873251","2_3:84;2_1:124","true"
"3","216.65233801813673","176.81681856195826","0","0","0.01749999999999996","0.0216","0.013399999999999967","1560","0.00024135526393196535","0","0.00024135526393196535","0.00024135526393196535","3_2:0.010139001764906286;3_4:0.013109808551490632","3_2:84;3_4:84","true"
"4","158.0165679312593","207.99074775108875","0","0","0.01629999999999998","0.01880000000000004","0.0138","1560","0.0006371222705794336","0","0.0006371222705794336","0.0006371222705794336","4_16:0.004220529250846816;4_3:0.013109808551490632;4_5:0.0048932400466026316","4_16:124;4_3:84;4_5:124","true"
"5","232.74393436374487","216.84299523063368","0","0","0.03689999999999993","0.035","0.038799999999999946","1560","0.0002258474446771898","0","0.0002258474446771898","0.0002258474446771898","5_6:0.009043866435857556;5_4:0.0048932400466026316","5_6:84;5_4:124","true"
"6","49.06108537497142","94.57715724793194","0","0","0.023600000000000065","0.03400000000000003","0.0132","1560","0.0004522660241503365","0","0.0004522660241503365","0.0004522660241503365","6_7:0.0175180762109009;6_5:0.009043866435857556","6_7:84;6_5:84","true"
"7","76.2669231304898","84.95877231779255","0","0","0.032399999999999984","0.0468","0.018000000000000016","1560","0.002750873506007131","0","0.002750873506007131","0.002750873506007131","7_6:0.0175180762109009;7_8:0.015250372397165202","7_6:84;7_8:100","true"
"8","310.8873316824707","192.77102161325723","0","0","0.024699999999999944","0.0344","0.015000000000000013","1560","0.0003454985254538294","0","0.0003454985254538294","0.0003454985254538294","8_17:0.0026984848305798004;8_7:0.015250372397165202;8_9:0.0037045199311618315","8_17:124;8_7:100;8_9:84","true"
"9","85.44032842955471","172.10620981661052","0","0","0.01330000000000009","0.02200000000000002","0.0046","1560","0.00038318321783421274","0","0.00038318321783421274","0.00038318321783421274","9_10:0.003039889879426244;9_8:0.0037045199311618315","9_10:124;9_8:84","true"
"10","211.6432585143799","196.14322475001882","0","0","0.01200000000000001","0.0124","0.011600000000000055","1560","0.00014833800752147165","0","0.00014833800752147165","0.00014833800752147165","10_11:0.0038554322672297303;10_9:0.003039889879426244","10_11:124;10_9:124","true"
"11","90.66028543062423","112.62271933702782","0","0","0.017300000000000093","0.0258","0.00880000000000003","1560","0.000787546342976612","0","0.000787546342976612","0.000787546342976612","11_10:0.0038554322672297303;11_12:0.016451612598603282","11_10:124;11_12:84","true"
"12","217.73222399632783","226.53182209676115","0","0","0.01749999999999996","0.0144","0.02059999999999995","1560","0.00013933439887891806","0","0.00013933439887891806","0.00013933439887891806","12_18:0.007014071982637066;12_11:0.016451612598603282;12_13:0.004163013671817872","12_18:124;12_11:84;12_13:124","true"
"13","152.76249466447257","160.3733869171156","0","0","0.012199999999999989","0.0098","0.014599999999999946","1560","0.00016691226703500085","0","0.00016691226703500085","0.00016691226703500085","13_14:0.005597015592658572;13_12:0.004163013671817872","13_14:84;13_12:124","true"
"14","296.5317028130723","153.77158464351572","0","0","0.016100000000000003","0.0106","0.021599999999999953","1560","0.0001939839402779652","0","0.0001939839402779652","0.0001939839402779652","14_13:0.005597015592658572","14_13:84","true"
"15","140.9492764968677","34.71810482366455","0","0","0.01550000000000007","0.020000000000000018","0.011","1560","0.0008222146969028478","0","0.0008222146969028478","0.0008222146969028478","15_19:0.006281513147340101;15_0:0.003867257013085046","15_19:84;15_0:124","true"
"16","119.68753285602239","158.72962682240504","0","0","0.014000000000000012","0.0226","0.00539999999999996","1560","0.0003637698776961612","0","0.0003637698776961612","0.0003637698776961612","16_23:0.002942802120921212;16_4:0.004220529250846816","16_23:200;16_4:124","true"
"17","150.73138528335028","91.27888802093725","0","0","0.010599999999999943","0.014000000000000012","0.0072","1560","0.0005867957202101309","0","0.0005867957202101309","0.0005867957202101309","17_27:0.0035698125693066074;17_8:0.0026984848305798004","17_27:176;17_8:124","true"
"18","37.60436011439686","39.09462759540124","0","0","0.009199999999999986","0.012","0.006399999999999961","1560","0.0006690070913189513","0","0.0006690070913189513","0.0006690070913189513","18_31:0.01616046602487617;18_12:0.007014071982637066","18_31:100;18_12:124","true"
"19","196.34836637527175","293.3293498216331","0","0","0.045499999999999985","0.058599999999999985","0.0324","1560","0.00041478514696965024","0","0.00041478514696965024","0.00041478514696965024","19_15:0.006281513147340101;19_20:0.011020703044793745","19_15:84;19_20:124","true"
"20","128.70426417543123","101.95553523819574","0","0","0.010499999999999954","0.0152","0.005800000000000027","1560","0.0003048653308528241","0","0.0003048653308528241","0.0003048653308528241","20_19:0.011020703044793745;20_21:0.005112606433429034","20_19:124;20_21:100","true"
"21","143.7291011769241","29.103048569127207","0","0","0.03380000000000005","0.03500000000000003","0.0326","1560","0.0005691280309048866","0","0.0005691280309048866","0.0005691280309048866","21_34:0.0056883339925464516;21_22:0.007122547100503224;21_20:0.005112606433429034","21_34:84;21_22:100;21_20:100","true"
