"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","71.15111820441707","155.78605277169407","0","0","0.05520000000000003","0.05400000000000005","0.0564","1560","0.0002995716033752694","0","0.0002995716033752694","0.0002995716033752694","0_15:0.0034130974924701796;0_1:0.005697860072807065","0_15:124;0_1:84","true"
"1","79.72110951543556","100.58812600625588","0","0","0.011299999999999977","0.0152","0.007399999999999962","1560","0.0003321633764336103","0","0.0003321633764336103","0.0003321633764336103","1_2:0.003948488653781029;1_0:0.005697860072807065","1_2:124;1_0:84","true"
"2","235.1736269321764","136.40643930512945","0","0","0.04959999999999998","0.0464","0.0528","1560","0.0007196018349376937","0","0.0007196018349376937","0.0007196018349376937","2_3:0.006484588562075871;2_1:0.003948488653781029","2_3:84;2_1:124","true"
"3","209.3308334537945","85.43110193378581","0","0","0.016000000000000014","0.0186","0.013399999999999967","1560","0.00025602488460325636","0","0.00025602488460325636","0.00025602488460325636","3_2:0.006484588562075871;3_4:0.009702250216173963","3_2:84;3_4:84","true"
"4","163.41992409260578","215.92181633373892","0","0","0.040100000000000025","0.06540000000000001","0.0148","1560","0.0010017953306356488","0","0.0010017953306356488","0.0010017953306356488","4_16:0.006302490265424732;4_3:0.009702250216173963;4_5:0.005159950120796314","4_16:124;4_3:84;4_5:124","true"
"5","234.5777158518523","226.87213136553223","0","0","0.03949999999999998","0.0322","0.04679999999999995","1560","0.00023624062702258793","0","0.00023624062702258793","0.00023624062702258793","5_6:0.01096038988469597;5_4:0.005159950120796314","5_6:84;5_4:124","true"
"6","49.240631726921656","63.02364494179451","0","0","0.0242","0.03180000000000005","0.0166","1560","0.0003732631891947589","0","0.0003732631891947589","0.0003732631891947589","6_7:0.02161791089482315;6_5:0.01096038988469597","6_7:84;6_5:84","true"
"7","77.11860278433434","62.14607474440907","0","0","0.026499999999999968","0.0334","0.01959999999999995","1560","0.002685388616858652","0","0.002685388616858652","0.002685388616858652","7_6:0.02161791089482315;7_8:0.01903744518497477","7_6:84;7_8:100","true"
"8","208.7610185138483","172.77920775986624","0","0","0.03200000000000003","0.03859999999999997","0.0254","1560","0.00033831222179753965","0","0.00033831222179753965","0.00033831222179753965","8_17:0.00320359202897047;8_7:0.01903744518497477;8_9:0.0029731092364473632","8_17:124;8_7:100;8_9:84","true"
"9","189.36439946912222","195.89359155548524","0","0","0.01639999999999997","0.0242","0.0086","1560","0.0003983212927387574","0","0.0003983212927387574","0.0003983212927387574","9_10:0.003233837170683651;9_8:0.0029731092364473632","9_10:124;9_8:84","true"
"10","156.7359597966574","161.47722141664914","0","0","0.03079999999999994","0.0392","0.022399999999999975","1560","0.00013259794781072496","0","0.00013259794781072496","0.00013259794781072496","10_11:0.004785306646676146;10_9:0.003233837170683651","10_11:124;10_9:124","true"
"11","89.75689384558633","126.13576208233228","0","0","0.014799999999999924","0.0244","0.005199999999999982","1560","0.0003914899831312032","0","0.0003914899831312032","0.0003914899831312032","11_10:0.004785306646676146;11_12:0.015060188627573634","11_10:124;11_12:84","true"
"12","168.6900593250212","172.97590544466266","0","0","0.017800000000000038","0.0192","0.01639999999999997","1560","0.0001599950941608887","0","0.0001599950941608887","0.0001599950941608887","12_18:0.00433422359174615;12_11:0.015060188627573634;12_13:0.0037804506348515232","12_18:124;12_11:84;12_13:124","true"
"13","155.2383743925534","207.31402706476123","0","0","0.014699999999999935","0.0148","0.014599999999999946","1560","0.00017985423844165126","0","0.00017985423844165126","0.00017985423844165126","13_14:0.007506736176036949;13_12:0.0037804506348515232","13_14:84;13_12:124","true"
"14","257.02150535820607","101.24842936414242","0","0","0.01760000000000006","0.0142","0.02100000000000002","1560","0.0001713042372762256","0","0.0001713042372762256","0.0001713042372762256","14_13:0.007506736176036949","14_13:84","true"
"15","124.60518554038804","37.11268608565747","0","0","0.014799999999999924","0.01539999999999997","0.0142","1560","0.0003668490121867314","0","0.0003668490121867314","0.0003668490121867314","15_19:0.005764718983289369;15_0:0.0034130974924701796","15_19:84;15_0:124","true"
"16","134.87951463308877","154.39780120054448","0","0","0.01090000000000002","0.0148","0.007000000000000006","1560","0.00042011425482799814","0","0.00042011425482799814","0.00042011425482799814","16_23:0.004883879022107657;16_4:0.006302490265424732","16_23:200;16_4:124","true"
"17","135.46772702778856","89.71432621010776","0","0","0.010699999999999932","0.013599999999999945","0.0078","1560","0.0004206145091691009","0","0.0004206145091691009","0.0004206145091691009","17_27:0.0041005505510010865;17_8:0.00320359202897047","17_27:176;17_8:124","true"
"18","11.269450548309411","29.861240272270823","0","0","0.009299999999999975","0.0132","0.00539999999999996","1560","0.0005131666952835513","0","0.0005131666952835513","0.0005131666952835513","18_31:0.010896429477572855;18_12:0.00433422359174615","18_31:100;18_12:124","true"
"19","200.5912955728604","186.0917544616087","0","0","0.038899999999999935","0.050799999999999956","0.027","1560","0.000573212830097181","0","0.000573212830097181","0.000573212830097181","19_15:0.005764718983289369;19_20:0.01168242194747765","19_15:84;19_20:124","true"
"20","119.87273139553763","103.76277491305339","0","0","0.013399999999999967","0.0186","0.008199999999999985","1560","0.00029493642145222564","0","0.00029493642145222564","0.00029493642145222564","20_19:0.01168242194747765;20_21:0.03232642318664769","20_19:124;20_21:100","true"
"21","150.90310959864019","33.74872262000331","0","0","0.03190000000000004","0.03859999999999997","0.0252","1560","0.0025099647588930486","0","0.0025099647588930486","0.0025099647588930486","21_34:0.04804657942773871;21_22:0.026545381455352457;21_20:0.03232642318664769","21_34:84;21_22:100;21_20:100","true"
"22","72.71917432955506","91.64286441665713","0","0","0.011199999999999988","0.01859999999999995","0.0038","1560","0.0003065196337348104","0","0.0003065196337348104","0.0003065196337348104","22_23:0.004141884659585482;22_21:0.026545381455352457","22_23:100;22_21:100","true"
"23","167.24829432983663","172.32716803057073","0","0","0.009600000000000053","0.008","0.011199999999999988","1560","0.00017541952674807984","0","0.00017541952674807984","0.00017541952674807984","23_16:0.004883879022107657;23_22:0.004141884659585482;23_24:0.0048629339956244855","23_16:200;23_22:100;23_24:84","true"
"24","39.728891687411945","38.156595513025074","0","0","0.011900000000000022","0.018199999999999994","0.0056","1560","0.0008835760481170727","0","0.0008835760481170727","0.0008835760481170727","24_23:0.0048629339956244855;24_25:0.004575824681470997","24_23:84;24_25:84","true"
"25","108.23256882372922","135.79877022110887","0","0","0.027599999999999958","0.03979999999999995","0.0154","1560","0.00039588482831102415","0","0.00039588482831102415","0.00039588482831102415","25_35:0.003026988031493927;25_26:0.003023052356888184;25_24:0.004575824681470997","25_35:124;25_26:100;25_24:84","true"
"26","76.74159453056643","106.40492829323972","0","0","0.12070000000000003","0.1188","0.12260000000000004","1560","0.00024384548860723198","0","0.00024384548860723198","0.00024384548860723198","26_27:0.006737143878556118;26_25:0.003023052356888184","26_27:84;26_25:100","true"
"27","164.28964514888793","87.85483285940356","0","0","0.10860000000000003","0.11219999999999997","0.105","1560","0.00026262904930442015","0","0.00026262904930442015","0.00026262904930442015","27_17:0.0041005505510010865;27_26:0.006737143878556118;27_28:0.002990910788364054","27_17:176;27_26:84;27_28:100","true"
"28","165.38370883252182","151.11413763730914","0","0","0.07319999999999993","0.0654","0.08099999999999996","1560","0.0004192370257546267","0","0.0004192370257546267","0.0004192370257546267","28_27:0.002990910788364054;28_29:0.006431615643032518","28_27:100;28_29:132","true"
