 cbit,qbit,      c,  gate,   t2, t2_spam, match
 t2_2, 132,  1.705,  1000x, 248, 1.69195, ✅ by      0
 t2_3, 122,  1.471,  1000x, 198, 1.72975, OVER  by 0.2587
 t2_4, 119,  1.128,  1000x, 189,  1.5337, OVER  by 0.4057
 t2_5, 129,  1.478,  1000x, 108,  1.3183, under by 0.1597
 t2_6, 106,  2.332,   100x, 102, 2.68935, OVER  by 0.3574
 t2_7, 103,  2.439,   100x,  74, 2.33025, under by 0.1088
 t2_8, 100,  1.932,   100x, 102,  1.8333, under by 0.0987
 t2_9,  98,  2.437,   100x,  42,  2.1786, under by 0.2584
t2_10,  95,  1.893,   100x, 251,  2.0673, OVER  by 0.1743
t2_11,  90,  2.017,    10x, 243, 2.40365, OVER  by 0.3866
t2_12,  86,  1.697,    10x, 110,  2.2068, OVER  by 0.5098
t2_13,  82,  2.117,    10x,  49,  2.3032, OVER  by 0.1862
t2_14,  79,  3.369,    10x,  27,  3.1164, under by 0.2526
t2_15,  76,   2.25,    10x, 249,  2.8191, OVER  by 0.5691
t2_16,  69,  0.048,    10h,  63, 2.33465, OVER  by 2.2866
t2_17,  65, -0.083,    10h, 183,  3.4123, OVER  by 3.4953
t2_18,  62, -0.076,    10h, 130, 3.19865, OVER  by 3.2747
t2_19,  59,  0.196,    10h, 157,  2.9494, OVER  by 2.7534
t2_20,  57,  0.134,    10h, 126, 2.78015, OVER  by 2.6462
t2_21,  52,  2.772, 1000id, 229, 1.69315, under by 1.0788
t2_22,  47,  1.607, 1000id,  66, 1.01545, under by 0.5916
t2_23,  44,  1.151, 1000id, 209,  1.6686, OVER  by 0.5176
t2_24,  41,  0.042, 1000id,  47, 0.83915, OVER  by 0.7971
t2_25,  38,  1.807, 1000id,  87, 0.94685, under by 0.8602
t2_26,  33,  1.283,  100id, 189,  1.2426, under by 0.0404
t2_27,  29,  3.053,  100id, 132,  2.3249, under by 0.7281
t2_28,  26,  2.634,  100id, 175, 2.45065, under by 0.1833
t2_29,  23,  3.002,  100id, 188, 2.36855, under by 0.6334
t2_30,  20,  2.047,  100id,  95,  2.7289, OVER  by 0.6819
t2_31,  14,  2.545,   10id, 152,  2.4342, under by 0.1108
t2_32,   9,  3.339,   10id, 184,  3.4468, OVER  by 0.1078
t2_33,   7,  1.875,   10id, 138, 2.89255, OVER  by 1.0176
t2_34,   4,  2.484,   10id, 176,  3.1593, OVER  by 0.6753
t2_35,   0,  1.752,   10id,  96, 1.99225, OVER  by 0.2403
